output discrete e,p
cap-shape discrete b,c,x,f,k,s 
cap-surface discrete f,g,y,s 
cap-color discrete n,b,c,g,r,p,u,e,w,y 
bruises discrete t,f 
odor discrete a,l,c,y,f,m,n,p,s 
gill-attachment discrete a,d,f,n 
gill-spacing discrete c,w,d 
gill-size discrete b,n 
gill-color discrete k,n,b,h,g,r,o,p,u,e,w,y 
stalk-shape discrete e,t 
stalk-root discrete b,c,u,e,z,r,? 
stalk-surface-above-ring discrete f,y,k,s 
stalk-surface-below-ring discrete f,y,k,s 
stalk-color-above-ring discrete n,b,c,g,o,p,e,w,y 
stalk-color-below-ring discrete n,b,c,g,o,p,e,w,y 
veil-type discrete p,u 
veil-color discrete n,o,w,y 
ring-number discrete n,o,t 
ring-type discrete c,e,f,l,n,p,s,z 
spore-print-color discrete k,n,b,h,r,o,u,w,y 
population discrete a,c,n,s,v,y 
habitat discrete g,l,m,p,u,w,d
